2024-08-13 00:43:15 status unpacked libsasl2-2:amd64 2.1.28+dfsg-10
2024-08-13 00:43:15 status half-configured libsasl2-2:amd64 2.1.28+dfsg-10
2024-08-13 00:43:15 status installed libsasl2-2:amd64 2.1.28+dfsg-10
2024-08-13 00:43:15 configure libssh2-1:amd64 1.10.0-3+b1 <none>
2024-08-13 00:43:15 status unpacked libssh2-1:amd64 1.10.0-3+b1
2024-08-13 00:43:15 status half-configured libssh2-1:amd64 1.10.0-3+b1
2024-08-13 00:43:15 status installed libssh2-1:amd64 1.10.0-3+b1
2024-08-13 00:43:15 configure netbase:all 6.4 <none>
2024-08-13 00:43:15 status unpacked netbase:all 6.4
2024-08-13 00:43:15 status half-configured netbase:all 6.4
2024-08-13 00:43:15 status installed netbase:all 6.4
2024-08-13 00:43:15 configure libkrb5-3:amd64 1.20.1-2+deb12u2 <none>
2024-08-13 00:43:15 status unpacked libkrb5-3:amd64 1.20.1-2+deb12u2
2024-08-13 00:43:15 status half-configured libkrb5-3:amd64 1.20.1-2+deb12u2
2024-08-13 00:43:15 status installed libkrb5-3:amd64 1.20.1-2+deb12u2
2024-08-13 00:43:15 configure openssl:amd64 3.0.13-1~deb12u1 <none>
2024-08-13 00:43:15 status unpacked openssl:amd64 3.0.13-1~deb12u1
2024-08-13 00:43:15 status half-configured openssl:amd64 3.0.13-1~deb12u1
2024-08-13 00:43:15 status installed openssl:amd64 3.0.13-1~deb12u1
2024-08-13 00:43:15 configure readline-common:all 8.2-1.3 <none>
2024-08-13 00:43:15 status unpacked readline-common:all 8.2-1.3
2024-08-13 00:43:15 status half-configured readline-common:all 8.2-1.3
2024-08-13 00:43:15 status installed readline-common:all 8.2-1.3
2024-08-13 00:43:15 configure pinentry-curses:amd64 1.2.1-1 <none>
2024-08-13 00:43:15 status unpacked pinentry-curses:amd64 1.2.1-1
2024-08-13 00:43:15 status half-configured pinentry-curses:amd64 1.2.1-1
2024-08-13 00:43:15 status installed pinentry-curses:amd64 1.2.1-1
2024-08-13 00:43:15 configure libreadline8:amd64 8.2-1.3 <none>
2024-08-13 00:43:15 status unpacked libreadline8:amd64 8.2-1.3
2024-08-13 00:43:15 status half-configured libreadline8:amd64 8.2-1.3
2024-08-13 00:43:15 status installed libreadline8:amd64 8.2-1.3
2024-08-13 00:43:15 configure libldap-2.5-0:amd64 2.5.13+dfsg-5 <none>
2024-08-13 00:43:15 status unpacked libldap-2.5-0:amd64 2.5.13+dfsg-5
2024-08-13 00:43:15 status half-configured libldap-2.5-0:amd64 2.5.13+dfsg-5
2024-08-13 00:43:15 status installed libldap-2.5-0:amd64 2.5.13+dfsg-5
2024-08-13 00:43:15 configure ca-certificates:all 20230311 <none>
2024-08-13 00:43:15 status unpacked ca-certificates:all 20230311
2024-08-13 00:43:15 status half-configured ca-certificates:all 20230311
2024-08-13 00:43:16 status installed ca-certificates:all 20230311
2024-08-13 00:43:16 status triggers-pending ca-certificates:all 20230311
2024-08-13 00:43:16 configure libgssapi-krb5-2:amd64 1.20.1-2+deb12u2 <none>
2024-08-13 00:43:16 status unpacked libgssapi-krb5-2:amd64 1.20.1-2+deb12u2
2024-08-13 00:43:16 status half-configured libgssapi-krb5-2:amd64 1.20.1-2+deb12u2
2024-08-13 00:43:16 status installed libgssapi-krb5-2:amd64 1.20.1-2+deb12u2
2024-08-13 00:43:16 configure gpgconf:amd64 2.2.40-1.1 <none>
2024-08-13 00:43:16 status unpacked gpgconf:amd64 2.2.40-1.1
2024-08-13 00:43:16 status half-configured gpgconf:amd64 2.2.40-1.1
2024-08-13 00:43:16 status installed gpgconf:amd64 2.2.40-1.1
2024-08-13 00:43:16 configure libcurl4:amd64 7.88.1-10+deb12u6 <none>
2024-08-13 00:43:16 status unpacked libcurl4:amd64 7.88.1-10+deb12u6
2024-08-13 00:43:16 status half-configured libcurl4:amd64 7.88.1-10+deb12u6
2024-08-13 00:43:16 status installed libcurl4:amd64 7.88.1-10+deb12u6
2024-08-13 00:43:16 configure curl:amd64 7.88.1-10+deb12u6 <none>
2024-08-13 00:43:16 status unpacked curl:amd64 7.88.1-10+deb12u6
2024-08-13 00:43:16 status half-configured curl:amd64 7.88.1-10+deb12u6
2024-08-13 00:43:16 status installed curl:amd64 7.88.1-10+deb12u6
2024-08-13 00:43:16 configure gpg:amd64 2.2.40-1.1 <none>
2024-08-13 00:43:16 status unpacked gpg:amd64 2.2.40-1.1
2024-08-13 00:43:16 status half-configured gpg:amd64 2.2.40-1.1
2024-08-13 00:43:16 status installed gpg:amd64 2.2.40-1.1
2024-08-13 00:43:16 configure gnupg-utils:amd64 2.2.40-1.1 <none>
2024-08-13 00:43:16 status unpacked gnupg-utils:amd64 2.2.40-1.1
2024-08-13 00:43:16 status half-configured gnupg-utils:amd64 2.2.40-1.1
2024-08-13 00:43:16 status installed gnupg-utils:amd64 2.2.40-1.1
2024-08-13 00:43:16 configure gpg-agent:amd64 2.2.40-1.1 <none>
2024-08-13 00:43:16 status unpacked gpg-agent:amd64 2.2.40-1.1
2024-08-13 00:43:16 status half-configured gpg-agent:amd64 2.2.40-1.1
2024-08-13 00:43:16 status installed gpg-agent:amd64 2.2.40-1.1
2024-08-13 00:43:16 configure gpgsm:amd64 2.2.40-1.1 <none>
2024-08-13 00:43:16 status unpacked gpgsm:amd64 2.2.40-1.1
2024-08-13 00:43:16 status half-configured gpgsm:amd64 2.2.40-1.1
2024-08-13 00:43:16 status installed gpgsm:amd64 2.2.40-1.1
2024-08-13 00:43:16 configure dirmngr:amd64 2.2.40-1.1 <none>
2024-08-13 00:43:16 status unpacked dirmngr:amd64 2.2.40-1.1
2024-08-13 00:43:16 status half-configured dirmngr:amd64 2.2.40-1.1
2024-08-13 00:43:16 status installed dirmngr:amd64 2.2.40-1.1
2024-08-13 00:43:16 configure gpg-wks-server:amd64 2.2.40-1.1 <none>
2024-08-13 00:43:16 status unpacked gpg-wks-server:amd64 2.2.40-1.1
2024-08-13 00:43:16 status half-configured gpg-wks-server:amd64 2.2.40-1.1
2024-08-13 00:43:16 status installed gpg-wks-server:amd64 2.2.40-1.1
2024-08-13 00:43:16 configure gpg-wks-client:amd64 2.2.40-1.1 <none>
2024-08-13 00:43:16 status unpacked gpg-wks-client:amd64 2.2.40-1.1
2024-08-13 00:43:16 status half-configured gpg-wks-client:amd64 2.2.40-1.1
2024-08-13 00:43:16 status installed gpg-wks-client:amd64 2.2.40-1.1
2024-08-13 00:43:16 configure gnupg:all 2.2.40-1.1 <none>
2024-08-13 00:43:16 status unpacked gnupg:all 2.2.40-1.1
2024-08-13 00:43:16 status half-configured gnupg:all 2.2.40-1.1
2024-08-13 00:43:16 status installed gnupg:all 2.2.40-1.1
2024-08-13 00:43:16 trigproc libc-bin:amd64 2.36-9+deb12u7 <none>
2024-08-13 00:43:16 status half-configured libc-bin:amd64 2.36-9+deb12u7
2024-08-13 00:43:16 status installed libc-bin:amd64 2.36-9+deb12u7
2024-08-13 00:43:16 trigproc ca-certificates:all 20230311 <none>
2024-08-13 00:43:16 status half-configured ca-certificates:all 20230311
2024-08-13 00:43:17 status installed ca-certificates:all 20230311
